annual_spend,purchases,customer_id
182.07,5,C000001
215.18,3,C000002
669.85,12,C000003
559.07,8,C000004
68.55,1,C000005
107.84,4,C000006
19.66,1,C000007
188.39,3,C000008
536.46,7,C000009
565.89,9,C000010
603.95,14,C000011
242.36,5,C000012
52.74,1,C000013
85.29,2,C000014
288.26,4,C000015
137.72,2,C000016
161.42,5,C000017
282.66,3,C000018
241.97,6,C000019
166.47,4,C000020
414.52,5,C000021
99.78,3,C000022
120.91,2,C000023
300.66,8,C000024
549.97,8,C000025
32.97,1,C000026
951.89,10,C000027
160.90,5,C000028
214.09,3,C000029
94.62,3,C000030
88.92,2,C000031
643.54,9,C000032
246.07,5,C000033
155.39,4,C000034
588.79,12,C000035
343.16,5,C000036
89.74,3,C000037
209.09,6,C000038
361.26,3,C000039
144.24,2,C000040
127.91,3,C000041
135.96,2,C000042
45.19,2,C000043
122.45,2,C000044
79.01,2,C000045
333.80,8,C000046
1836.63,39,C000047
181.29,3,C000048
464.28,7,C000049
37.19,2,C000050
113.24,2,C000051
147.45,2,C000052
273.29,7,C000053
186.89,6,C000054
104.87,4,C000055
26.68,1,C000056
139.56,2,C000057
33.80,1,C000058
183.89,3,C000059
78.92,2,C000060
