annual_spend,purchases,customer_id
182.07,5,C000001
215.18,3,C000002
669.85,12,C000003
559.07,8,C000004
68.55,1,C000005
107.84,4,C000006
19.66,1,C000007
188.39,3,C000008
536.46,7,C000009
565.89,9,C000010
603.95,14,C000011
242.36,5,C000012
52.74,1,C000013
85.29,2,C000014
288.26,4,C000015
137.72,2,C000016
161.42,5,C000017
282.66,3,C000018
241.97,6,C000019
166.47,4,C000020
414.52,5,C000021
99.78,3,C000022
120.91,2,C000023
300.66,8,C000024
549.97,8,C000025
32.97,1,C000026
951.89,10,C000027
160.90,5,C000028
214.09,3,C000029
94.62,3,C000030
88.92,2,C000031
643.54,9,C000032
246.07,5,C000033
155.39,4,C000034
588.79,12,C000035
343.16,5,C000036
89.74,3,C000037
209.09,6,C000038
361.26,3,C000039
144.24,2,C000040
127.91,3,C000041
135.96,2,C000042
45.19,2,C000043
122.45,2,C000044
79.01,2,C000045
333.80,8,C000046
1836.63,39,C000047
181.29,3,C000048
464.28,7,C000049
37.19,2,C000050
113.24,2,C000051
147.45,2,C000052
273.29,7,C000053
186.89,6,C000054
104.87,4,C000055
26.68,1,C000056
139.56,2,C000057
33.80,1,C000058
183.89,3,C000059
78.92,2,C000060
204.56,5,C000061
163.90,5,C000062
218.54,5,C000063
153.55,3,C000064
87.74,2,C000065
80.29,2,C000066
117.53,2,C000067
386.36,6,C000068
368.49,8,C000069
60.32,2,C000070
1425.55,14,C000071
277.60,6,C000072
323.35,4,C000073
193.13,7,C000074
106.68,4,C000075
278.05,8,C000076
111.54,2,C000077
460.89,8,C000078
71.25,3,C000079
109.55,4,C000080
91.88,3,C000081
1062.74,11,C000082
46.59,1,C000083
269.92,5,C000084
81.94,2,C000085
621.24,9,C000086
212.83,3,C000087
106.63,3,C000088
276.52,4,C000089
316.43,6,C000090
918.35,13,C000091
248.58,3,C000092
240.76,6,C000093
185.45,4,C000094
343.16,9,C000095
678.87,8,C000096
373.51,6,C000097
21.40,1,C000098
210.43,6,C000099
287.30,4,C000100
87.45,4,C000101
230.50,2,C000102
44.83,3,C000103
252.12,5,C000104
425.72,15,C000105
818.40,13,C000106
931.17,11,C000107
41.74,1,C000108
111.54,2,C000109
207.88,4,C000110
321.62,8,C000111
203.76,5,C000112
153.29,8,C000113
230.14,3,C000114
230.18,7,C000115
438.09,8,C000116
531.23,12,C000117
38.99,1,C000118
543.39,11,C000119
159.41,4,C000120
192.32,6,C000121
228.09,4,C000122
201.80,6,C000123
289.71,5,C000124
96.46,1,C000125
175.53,3,C000126
45.67,1,C000127
65.66,2,C000128
53.90,2,C000129
520.79,8,C000130
585.30,6,C000131
177.85,2,C000132
316.03,7,C000133
601.62,14,C000134
270.64,3,C000135
28.55,1,C000136
188.70,3,C000137
148.34,5,C000138
43.85,1,C000139
257.23,4,C000140
125.75,3,C000141
608.34,12,C000142
44.02,1,C000143
601.13,11,C000144
97.80,2,C000145
159.72,2,C000146
169.45,3,C000147
67.70,1,C000148
31.15,1,C000149
56.90,1,C000150
336.85,7,C000151
26.75,1,C000152
195.84,3,C000153
137.68,4,C000154
441.21,10,C000155
98.77,2,C000156
71.91,2,C000157
257.02,5,C000158
216.46,5,C000159
220.29,7,C000160
405.15,5,C000161
27.00,1,C000162
284.87,8,C000163
58.36,1,C000164
143.19,2,C000165
136.61,3,C000166
37.16,1,C000167
110.39,3,C000168
73.69,2,C000169
153.79,7,C000170
1146.83,18,C000171
91.75,2,C000172
263.93,10,C000173
464.48,9,C000174
130.08,6,C000175
368.59,6,C000176
211.17,2,C000177
242.88,5,C000178
305.61,8,C000179
490.42,6,C000180
132.59,5,C000181
262.79,4,C000182
178.92,6,C000183
334.41,8,C000184
136.77,2,C000185
187.41,4,C000186
227.92,4,C000187
187.80,4,C000188
415.91,8,C000189
97.12,2,C000190
88.40,2,C000191
221.51,6,C000192
59.63,1,C000193
554.27,7,C000194
169.96,4,C000195
155.27,3,C000196
188.31,8,C000197
313.31,4,C000198
455.86,5,C000199
285.70,7,C000200
304.04,6,C000201
258.15,6,C000202
167.30,3,C000203
47.27,2,C000204
184.90,5,C000205
89.14,4,C000206
132.02,3,C000207
160.45,5,C000208
42.42,1,C000209
78.19,2,C000210
229.25,4,C000211
69.29,2,C000212
383.59,11,C000213
270.76,5,C000214
46.60,1,C000215
533.25,10,C000216
446.25,10,C000217
217.06,5,C000218
73.17,2,C000219
355.10,4,C000220
28.26,1,C000221
425.36,6,C000222
489.42,17,C000223
547.75,14,C000224
112.96,2,C000225
87.88,3,C000226
29.69,1,C000227
306.55,4,C000228
152.68,2,C000229
106.65,2,C000230
78.99,1,C000231
79.30,3,C000232
268.55,6,C000233
197.98,4,C000234
105.74,3,C000235
76.23,2,C000236
221.53,5,C000237
79.17,4,C000238
71.08,3,C000239
86.01,2,C000240
295.72,6,C000241
323.59,11,C000242
173.94,3,C000243
