annual_spnd,purchases,customer_id
129.34,2,C000001
214.72,4,C000002
430.47,6,C000003
271.05,5,C000004
42.38,2,C000005
169.45,6,C000006
264.49,4,C000007
347.80,4,C000008
344.50,7,C000009
166.38,8,C000010
88.01,2,C000011
205.43,4,C000012
160.07,3,C000013
473.45,10,C000014
196.00,3,C000015
89.21,3,C000016
94.24,2,C000017
199.42,3,C000018
140.67,2,C000019
249.49,3,C000020
81.66,2,C000021
175.23,3,C000022
2030.20,26,C000023
69.49,2,C000024
230.03,3,C000025
300.37,6,C000026
112.18,5,C000027
129.76,5,C000028
576.95,9,C000029
199.04,4,C000030
936.48,10,C000031
176.30,3,C000032
205.03,4,C000033
79.52,4,C000034
117.66,2,C000035
101.59,4,C000036
166.26,3,C000037
37.72,1,C000038
296.67,10,C000039
216.87,7,C000040
403.35,5,C000041
115.14,4,C000042
540.91,8,C000043
76.10,1,C000044
217.01,5,C000045
148.94,3,C000046
229.61,5,C000047
203.34,5,C000048
926.28,15,C000049
578.51,10,C000050
1395.45,18,C000051
305.68,2,C000052
44.29,2,C000053
591.88,4,C000054
313.17,6,C000055
305.53,2,C000056
183.31,3,C000057
76.84,3,C000058
218.31,5,C000059
60.27,2,C000060
84.25,2,C000061
1232.75,15,C000062
192.24,4,C000063
966.28,14,C000064
292.62,5,C000065
183.04,3,C000066
77.84,4,C000067
192.79,4,C000068
106.08,2,C000069
217.63,5,C000070
137.11,3,C000071
131.74,2,C000072
65.51,3,C000073
71.49,4,C000074
516.55,9,C000075
374.74,8,C000076
110.21,2,C000077
454.31,9,C000078
163.17,4,C000079
201.18,6,C000080
477.56,10,C000081
250.08,5,C000082
100.70,2,C000083
652.19,9,C000084
215.28,4,C000085
46.84,1,C000086
386.46,8,C000087
525.94,9,C000088
205.63,3,C000089
172.31,2,C000090
320.61,5,C000091
61.37,2,C000092
142.39,2,C000093
44.27,1,C000094
68.17,1,C000095
72.15,1,C000096
450.33,6,C000097
87.12,3,C000098
90.10,2,C000099
188.77,2,C000100
393.28,9,C000101
219.98,4,C000102
656.42,8,C000103
958.01,11,C000104
1145.00,12,C000105
103.21,3,C000106
137.56,4,C000107
167.38,4,C000108
30.44,1,C000109
367.21,8,C000110
846.50,9,C000111
114.87,3,C000112
128.37,2,C000113
101.99,2,C000114
298.02,5,C000115
691.03,13,C000116
228.74,4,C000117
444.39,8,C000118
563.39,7,C000119
264.85,5,C000120
204.99,4,C000121
369.86,7,C000122
231.35,3,C000123
255.91,3,C000124
50.52,1,C000125
76.08,2,C000126
175.19,4,C000127
28.15,1,C000128
382.82,8,C000129
132.07,2,C000130
157.15,4,C000131
38.01,1,C000132
632.59,10,C000133
115.82,3,C000134
61.63,1,C000135
297.59,11,C000136
47.20,1,C000137
189.72,3,C000138
208.10,2,C000139
235.86,4,C000140
92.11,2,C000141
85.32,2,C000142
269.51,8,C000143
429.16,8,C000144
183.42,5,C000145
149.31,7,C000146
224.98,12,C000147
145.66,3,C000148
117.07,3,C000149
203.14,3,C000150
280.19,3,C000151
114.66,2,C000152
495.60,8,C000153
87.01,2,C000154
1242.97,18,C000155
146.78,4,C000156
345.34,4,C000157
38.44,1,C000158
150.67,4,C000159
342.93,9,C000160
74.46,2,C000161
62.96,2,C000162
306.83,5,C000163
73.94,3,C000164
174.54,4,C000165
300.66,5,C000166
119.95,4,C000167
299.62,8,C000168
129.40,2,C000169
167.57,4,C000170
165.14,3,C000171
162.20,4,C000172
102.82,4,C000173
513.71,6,C000174
149.41,4,C000175
32.42,1,C000176
142.85,3,C000177
133.70,3,C000178
224.24,3,C000179
499.15,11,C000180
694.20,11,C000181
796.09,13,C000182
238.78,6,C000183
159.52,4,C000184
231.15,4,C000185
162.42,3,C000186
763.24,9,C000187
118.51,2,C000188
154.88,3,C000189
61.93,2,C000190
161.18,3,C000191
265.75,3,C000192
263.17,10,C000193
93.41,2,C000194
550.84,9,C000195
149.81,3,C000196
269.32,4,C000197
154.40,5,C000198
141.02,3,C000199
110.16,4,C000200
