annual_spend,purchases,customer_id
959.74,11,C000001
388.01,5,C000002
676.30,6,C000003
81.32,1,C000004
76.32,2,C000005
102.26,3,C000006
625.39,6,C000007
295.15,10,C000008
276.87,4,C000009
471.03,11,C000010
194.76,3,C000011
255.25,4,C000012
320.62,7,C000013
60.77,2,C000014
167.96,4,C000015
74.47,2,C000016
259.73,3,C000017
274.11,8,C000018
57.62,2,C000019
217.52,4,C000020
0,1,BAD-SPEND-0
163.65,8,C000021
217.63,3,C000022
373.68,6,C000023
328.66,4,C000024
128.87,3,C000025
121.90,2,C000026
170.09,3,C000027
278.14,6,C000028
166.27,4,C000029
127.95,2,C000030
70.61,2,C000031
948.92,14,C000032
292.93,4,C000033
61.97,2,C000034
0,2,BAD-SPEND-1
406.37,6,C000035
129.44,3,C000036
1170.20,22,C000037
163.45,7,C000038
716.81,11,C000039
30.78,1,C000040
213.80,4,C000041
305.22,8,C000042
200.06,3,C000043
128.43,2,C000044
120.62,5,C000045
394.54,10,C000046
244.09,4,C000047
531.04,8,C000048
0,3,BAD-SPEND-2
197.61,5,C000049
359.28,5,C000050
184.39,3,C000051
334.31,3,C000052
124.21,3,C000053
205.19,5,C000054
289.10,6,C000055
202.16,4,C000056
128.66,4,C000057
159.24,3,C000058
282.41,6,C000059
60.55,2,C000060
88.09,2,C000061
109.86,2,C000062
0,4,BAD-SPEND-3
141.54,3,C000063
285.45,5,C000064
112.04,3,C000065
339.34,8,C000066
971.94,18,C000067
151.21,4,C000068
42.49,2,C000069
414.53,6,C000070
101.18,2,C000071
267.43,3,C000072
146.90,5,C000073
441.23,5,C000074
42.74,2,C000075
224.38,7,C000076
0,5,BAD-SPEND-4
112.56,2,C000077
373.53,4,C000078
107.96,2,C000079
354.11,8,C000080
135.22,3,C000081
673.31,9,C000082
55.36,1,C000083
88.75,2,C000084
288.40,8,C000085
61.27,2,C000086
140.37,3,C000087
96.03,2,C000088
1005.42,16,C000089
144.63,3,C000090
0,6,BAD-SPEND-5
164.76,5,C000091
397.94,4,C000092
70.27,5,C000093
73.16,3,C000094
304.15,5,C000095
338.85,7,C000096
357.26,8,C000097
73.24,1,C000098
787.57,11,C000099
714.72,9,C000100
84.00,3,C000101
280.88,6,C000102
181.75,3,C000103
177.28,4,C000104
0,7,BAD-SPEND-6
230.32,5,C000105
78.76,4,C000106
235.86,4,C000107
69.17,2,C000108
737.53,15,C000109
153.27,5,C000110
118.27,5,C000111
86.37,1,C000112
82.44,3,C000113
208.01,3,C000114
55.78,1,C000115
34.82,1,C000116
135.26,2,C000117
239.98,4,C000118
-25,2,NEG-SPEND-0
541.88,12,C000119
170.37,5,C000120
298.36,6,C000121
171.62,8,C000122
99.25,2,C000123
849.78,9,C000124
325.93,5,C000125
292.85,4,C000126
418.33,8,C000127
143.36,2,C000128
23.91,1,C000129
76.90,3,C000130
357.31,6,C000131
236.58,5,C000132
-50,2,NEG-SPEND-1
239.51,3,C000133
365.24,12,C000134
138.82,2,C000135
190.24,3,C000136
248.06,7,C000137
227.57,2,C000138
330.13,3,C000139
951.87,10,C000140
342.82,6,C000141
61.75,1,C000142
350.62,6,C000143
113.71,2,C000144
731.27,19,C000145
889.27,10,C000146
-75,2,NEG-SPEND-2
200.98,4,C000147
97.35,3,C000148
289.03,5,C000149
480.77,15,C000150
647.63,16,C000151
140.18,6,C000152
230.53,6,C000153
68.08,1,C000154
520.04,6,C000155
342.59,6,C000156
258.24,4,C000157
46.86,2,C000158
79.00,2,C000159
82.71,2,C000160
-100,2,NEG-SPEND-3
186.10,5,C000161
108.80,4,C000162
283.33,4,C000163
414.39,8,C000164
146.58,3,C000165
63.03,2,C000166
304.77,6,C000167
961.08,10,C000168
238.32,9,C000169
795.61,13,C000170
325.89,7,C000171
619.41,15,C000172
121.49,3,C000173
241.22,4,C000174
,3,EMPTY-SPEND
162.51,6,C000175
354.95,8,C000176
207.08,2,C000177
129.79,4,C000178
151.82,2,C000179
88.25,3,C000180
132.97,2,C000181
320.15,7,C000182
197.40,4,C000183
221.35,6,C000184
47.57,1,C000185
127.16,2,C000186
481.68,13,C000187
119.82,3,C000188
120.00,,EMPTY-PURCHASES
142.96,3,C000189
1381.75,20,C000190
263.56,5,C000191
304.24,4,C000192
135.60,2,C000193
558.42,16,C000194
80.23,1,C000195
744.57,7,C000196
245.79,3,C000197
180.79,4,C000198
265.98,5,C000199
205.11,4,C000200
400.22,9,C000201
48.85,1,C000202
n/a,2,TEXT-SPEND
126.24,2,C000203
272.99,7,C000204
169.61,3,C000205
322.27,6,C000206
853.66,17,C000207
58.13,1,C000208
45.74,1,C000209
66.51,3,C000210
460.52,5,C000211
183.65,5,C000212
280.61,6,C000213
57.00,2,C000214
507.78,11,C000215
1015.52,26,C000216
85.50,three,TEXT-PURCHASES
46.47,1,C000217
71.56,2,C000218
281.33,4,C000219
605.19,10,C000220
137.91,3,C000221
291.16,6,C000222
308.33,6,C000223
150.66,3,C000224
78.63,1,C000225
512.51,7,C000226
553.09,10,C000227
273.23,6,C000228
166.67,3,C000229
445.23,8,C000230
€90,2,CURRENCY
34.92,1,C000231
178.79,5,C000232
203.62,6,C000233
664.90,19,C000234
87.49,1,C000235
19.54,1,C000236
487.18,11,C000237
282.07,7,C000238
456.18,10,C000239
115.41,4,C000240
363.47,4,C000241
546.70,5,C000242
153.15,4,C000243
149.58,3,C000244
"1,200.00",5,THOUSANDS
143.13,4,C000245
197.27,4,C000246
44.36,1,C000247
185.64,2,C000248
589.73,6,C000249
128.75,4,C000250
111.26,3,C000251
142.29,2,C000252
222.65,5,C000253
43.30,1,C000254
76.71,2,C000255
90.13,1,C000256
79.99,2,C000257
72.88,2,C000258
NaN,1,NAN
174.74,4,C000259
273.37,6,C000260
215.57,3,C000261
201.29,4,C000262
173.82,2,C000263
370.45,6,C000264
298.06,3,C000265
450.85,5,C000266
701.30,6,C000267
175.17,3,C000268
473.84,7,C000269
297.00,10,C000270
341.40,6,C000271
236.94,4,C000272
310
94.62,3,C000273
448.01,9,C000274
97.43,3,C000275
284.36,7,C000276
226.79,3,C000277
70.81,2,C000278
71.86,2,C000279
154.30,7,C000280
143.05,2,C000281
396.59,6,C000282
120.81,5,C000283
1669.62,18,C000284
174.66,6,C000285
96.53,2,C000286
  ,  ,BLANKS
151.11,3,C000287
902.91,14,C000288
167.80,3,C000289
516.58,4,C000290
52.10,2,C000291
379.62,17,C000292
120.86,3,C000293
67.97,2,C000294
99.03,2,C000295
63.24,2,C000296
1116.58,14,C000297
318.15,9,C000298
119.04,2,C000299
183.85,4,C000300
40.00,0,ZERO-PURCHASES-0
639.23,17,C000301
401.59,7,C000302
82.15,2,C000303
662.62,36,C000304
199.41,3,C000305
170.10,2,C000306
130.52,3,C000307
22.80,1,C000308
610.89,10,C000309
87.76,2,C000310
41.93,2,C000311
452.97,9,C000312
362.02,9,C000313
83.72,2,C000314
80.00,0,ZERO-PURCHASES-1
282.68,4,C000315
1083.33,17,C000316
332.51,3,C000317
265.49,5,C000318
339.66,4,C000319
278.68,8,C000320
253.95,9,C000321
271.83,3,C000322
438.62,7,C000323
141.93,2,C000324
182.55,3,C000325
110.95,2,C000326
147.25,3,C000327
894.85,28,C000328
120.00,0,ZERO-PURCHASES-2
281.09,6,C000329
201.40,3,C000330
168.44,2,C000331
202.68,8,C000332
51.88,2,C000333
38.27,1,C000334
145.84,2,C000335
167.01,3,C000336
86.73,2,C000337
345.91,4,C000338
97.15,2,C000339
183.30,4,C000340
56.60,2,C000341
690.93,7,C000342
160.00,0,ZERO-PURCHASES-3
430.74,5,C000343
116.55,3,C000344
76.82,2,C000345
672.27,8,C000346
195.00,4,C000347
293.78,5,C000348
882.43,13,C000349
484.74,7,C000350
437.50,12,C000351
418.24,5,C000352
358.03,9,C000353
290.41,10,C000354
330.19,7,C000355
254.81,7,C000356
200.00,0,ZERO-PURCHASES-4
869.43,9,C000357
557.43,9,C000358
313.52,8,C000359
48.67,3,C000360
133.37,2,C000361
90.23,4,C000362
109.55,3,C000363
159.03,2,C000364
58.89,1,C000365
478.56,7,C000366
186.56,4,C000367
77.89,2,C000368
85.80,2,C000369
170.57,4,C000370
240.00,0,ZERO-PURCHASES-5
220.83,4,C000371
655.33,13,C000372
418.99,5,C000373
243.25,5,C000374
967.67,12,C000375
451.32,6,C000376
73.24,2,C000377
107.89,2,C000378
179.99,2,C000379
98.58,2,C000380
314.99,7,C000381
236.66,11,C000382
314.33,4,C000383
442.74,6,C000384
179.14,4,C000385
223.62,4,C000386
205.04,4,C000387
75.05,2,C000388
141.10,5,C000389
220.05,4,C000390
188.93,4,C000391
82.71,3,C000392
131.96,4,C000393
197.06,4,C000394
325.11,7,C000395
170.44,2,C000396
295.87,8,C000397
53971.41,136,C000398
37118.40,103,C000399
31391.49,95,C000400
