annual_spend,purchases,customer_id
11.39,1,C016315
14.08,1,C074893
14.45,1,C072847
14.66,1,C019176
15.09,1,C010778
15.35,1,C028026
15.61,1,C077197
15.74,1,C013759
15.96,1,C014332
15.98,1,C062456
16.02,1,C008676
16.05,1,C021724
16.19,1,C069274
16.26,1,C066047
16.41,1,C052304
16.64,1,C014849
16.74,1,C039638
16.80,1,C060205
16.81,1,C076401
16.93,1,C024822
17.03,1,C027778
17.06,1,C011018
17.25,1,C038122
17.25,1,C076886
17.27,1,C011638
17.39,1,C031293
17.54,1,C061636
17.78,1,C060267
17.93,1,C029053
18.00,1,C029888
18.01,1,C040539
18.19,1,C033578
18.32,1,C006791
18.41,1,C007259
18.41,1,C045782
18.45,1,C038596
18.50,1,C025444
18.53,1,C011302
18.53,1,C074367
18.56,1,C001611
18.59,1,C013207
18.62,1,C011154
18.64,1,C031453
18.66,1,C018238
18.75,1,C071800
18.79,1,C028285
18.80,1,C076167
18.82,1,C063483
18.84,1,C030305
18.91,1,C070573
19.06,1,C045169
19.07,1,C000083
19.09,1,C013510
19.10,1,C000236
19.10,1,C037672
19.11,1,C046415
19.15,1,C010401
19.16,1,C062605
19.18,1,C077879
19.30,1,C030651
19.31,1,C046566
19.39,1,C020819
19.40,1,C018030
19.46,1,C000136
19.52,1,C044171
19.54,1,C005332
19.55,1,C031989
19.58,1,C075978
19.60,1,C031736
19.65,1,C009594
19.71,1,C050326
19.72,1,C060591
19.72,1,C079260
19.80,1,C079793
19.90,1,C013194
19.95,1,C002887
19.98,1,C058564
20.02,1,C073831
20.06,1,C078176
20.07,1,C004478
20.12,1,C039207
20.14,1,C026657
20.15,1,C041358
20.16,1,C002187
20.17,1,C075796
20.21,1,C014368
20.23,1,C008332
20.23,1,C055182
20.23,1,C065919
20.24,1,C060363
20.33,1,C012638
20.38,1,C020798
20.39,1,C029580
20.42,1,C079181
20.45,1,C005692
20.47,1,C053059
20.54,1,C009379
20.56,1,C041023
20.58,1,C053892
20.61,1,C068604
20.62,1,C032191
20.64,1,C079755
20.65,1,C049859
20.65,1,C077181
20.69,1,C052111
20.70,1,C045250
20.73,1,C024999
20.77,1,C019859
20.89,1,C034035
20.90,1,C003132
20.90,1,C062517
20.92,1,C006351
20.95,1,C042975
20.97,1,C045554
20.99,1,C079618
21.00,1,C020331
21.00,1,C070533
21.02,1,C012182
21.06,1,C019743
21.08,1,C057841
21.13,1,C056257
21.14,1,C018222
21.17,1,C002592
21.17,1,C002704
21.19,1,C067938
21.22,1,C075122
21.23,1,C041765
21.25,1,C011131
21.25,1,C054494
21.31,1,C018386
21.35,1,C018295
21.37,1,C057864
21.41,1,C053489
21.42,1,C013144
21.45,1,C060257
21.54,1,C022764
21.55,1,C065588
21.62,1,C073941
21.66,1,C078764
21.68,1,C045533
21.69,1,C025868
21.70,1,C071759
21.72,1,C030602
21.78,1,C058452
21.78,2,C059885
21.79,2,C037095
21.82,1,C055003
21.83,1,C001799
21.87,1,C042085
21.87,1,C050666
21.89,1,C007045
21.93,1,C048387
21.99,1,C009909
21.99,1,C039729
22.02,1,C020229
22.04,1,C023458
22.07,1,C067606
22.07,1,C076051
22.09,1,C028857
22.10,1,C032050
22.13,1,C013563
22.20,1,C001276
22.20,1,C011223
22.23,1,C033928
22.24,1,C073841
22.25,1,C034126
22.25,1,C060166
22.26,1,C046255
22.27,1,C007826
22.28,1,C040105
22.31,1,C053945
22.32,1,C036270
22.37,1,C059676
22.43,1,C034220
22.45,1,C038799
22.49,1,C065390
22.52,1,C030293
22.57,1,C061808
22.58,1,C062339
22.58,1,C078701
22.61,1,C046262
22.61,1,C054315
22.66,1,C006492
22.67,1,C031336
22.68,1,C013172
22.71,1,C022901
22.71,1,C029318
22.72,1,C025370
22.72,1,C070866
22.77,1,C054511
22.79,1,C002444
22.79,1,C045832
22.80,1,C059818
22.84,1,C029031
22.84,1,C060461
22.87,1,C016333
22.88,1,C066281
22.90,1,C054750
22.91,1,C007515
22.91,1,C059076
22.94,1,C049450
22.95,1,C057439
22.95,1,C058352
22.98,1,C007407
23.02,1,C028926
23.08,1,C023819
23.09,1,C023799
23.09,1,C057901
23.10,1,C048760
23.11,1,C072928
23.13,1,C021157
23.15,1,C008165
23.16,1,C079142
23.20,1,C017153
23.20,1,C032693
23.29,1,C044134
23.33,1,C060887
23.34,1,C002298
23.34,1,C004867
23.34,1,C046050
23.34,1,C076661
23.37,1,C054148
23.42,1,C059621
23.43,1,C050120
23.45,1,C055964
23.47,1,C014674
23.49,1,C031025
23.53,1,C030281
23.53,1,C056477
23.54,1,C001816
23.54,2,C063215
23.56,1,C003081
23.56,1,C035926
23.56,1,C039343
23.68,1,C034180
23.68,1,C063670
23.71,1,C034579
23.78,1,C043359
23.82,1,C009115
23.84,1,C011334
23.85,1,C030013
23.91,1,C004602
23.93,1,C016526
23.94,1,C020342
23.94,1,C074917
23.95,1,C049263
23.99,1,C035301
24.00,1,C015013
24.02,1,C010181
24.02,1,C030903
24.03,1,C046830
24.04,1,C050888
24.04,1,C069602
24.05,1,C054446
24.08,1,C018523
24.08,1,C027009
24.09,1,C030852
24.13,1,C033741
24.13,1,C043505
24.15,1,C056772
24.16,1,C079375
24.19,1,C036964
24.24,1,C013133
24.24,1,C024347
24.24,1,C076096
24.25,1,C053968
24.27,1,C009167
24.28,1,C064810
24.31,1,C070531
24.33,1,C022161
24.33,1,C049848
24.37,1,C003223
24.38,1,C032792
24.38,1,C032876
24.39,1,C034494
24.42,1,C065406
24.43,1,C053641
24.45,1,C032927
24.46,1,C008498
24.49,1,C018783
24.51,1,C064444
24.54,1,C078174
24.56,1,C039619
24.56,1,C066598
24.56,1,C067160
24.59,1,C007337
24.59,1,C028473
24.61,1,C016605
24.61,1,C017643
24.61,1,C037254
24.61,1,C069832
24.62,1,C010453
24.62,1,C032310
24.64,1,C020940
24.64,2,C023273
24.67,1,C056054
24.67,1,C068242
24.68,1,C055829
24.69,1,C027249
24.70,1,C077897
24.72,1,C005639
24.72,1,C061372
24.74,1,C078266
24.75,1,C007669
24.75,1,C078410
24.76,1,C011967
24.79,1,C022513
24.79,1,C058859
24.87,1,C033259
24.88,1,C075941
24.89,1,C026108
24.90,1,C015695
24.92,1,C004013
25.03,2,C053300
25.03,1,C060951
25.04,1,C021885
25.04,1,C032338
25.04,1,C038256
25.06,1,C012003
25.07,1,C039699
25.09,1,C079648
25.10,1,C023413
25.11,1,C063760
25.14,1,C073619
25.15,1,C071577
25.16,1,C031808
25.16,1,C063840
25.18,1,C022415
25.18,1,C071741
25.27,1,C068097
25.30,1,C078283
25.32,2,C067983
25.36,1,C055958
25.37,1,C012707
25.37,1,C018552
25.38,1,C024518
25.38,1,C045254
25.38,1,C054554
25.41,1,C060899
25.42,1,C073349
25.43,2,C054443
25.44,1,C028550
25.45,1,C075618
25.46,1,C018703
25.46,1,C054120
25.47,1,C035849
25.48,1,C023806
25.48,1,C024508
25.49,1,C016318
25.50,1,C041625
25.50,1,C065291
25.52,2,C000814
25.52,1,C056890
25.53,1,C033038
25.54,1,C002436
25.55,1,C015429
25.55,1,C028885
25.55,1,C050839
25.56,1,C054239
25.57,1,C037968
25.58,1,C041214
25.58,1,C062025
25.59,1,C064408
25.60,1,C054515
25.61,1,C026391
25.62,1,C041132
25.63,1,C046943
25.64,1,C016101
25.64,1,C045662
25.66,1,C064893
25.67,1,C015551
25.71,1,C051109
25.73,1,C007146
25.73,2,C059308
25.75,1,C001729
25.77,1,C062403
25.78,1,C001181
25.78,1,C066742
25.81,1,C031597
25.81,1,C057304
25.81,1,C065268
25.82,1,C015000
25.82,1,C024196
25.82,1,C065314
25.84,1,C028091
25.87,1,C068083
25.88,1,C040694
25.88,1,C056825
25.91,1,C026233
25.93,1,C003971
25.93,1,C006393
25.94,1,C036647
25.95,2,C002253
25.97,1,C014079
25.97,1,C058764
26.00,1,C038957
26.07,1,C053708
26.08,1,C003003
26.08,1,C073926
26.10,1,C003616
26.10,1,C006399
26.11,1,C078981
26.12,1,C031492
26.13,1,C001979
26.15,1,C065825
26.18,2,C058485
26.19,1,C035559
26.20,1,C010912
26.21,2,C030753
26.21,1,C073571
26.22,1,C026272
26.26,1,C032649
26.26,1,C042761
26.27,1,C006186
26.34,1,C042890
26.35,1,C000412
26.36,1,C006956
26.36,1,C059157
26.39,1,C052981
26.41,1,C024630
26.43,2,C022411
26.43,1,C078970
26.46,1,C020197
26.46,1,C064019
26.49,1,C002610
26.49,1,C013591
26.50,1,C075023
26.51,1,C069627
26.54,1,C010171
26.54,1,C023252
26.54,1,C061254
26.57,1,C012168
26.57,1,C078527
26.58,1,C004698
26.59,1,C008837
26.61,1,C031873
26.61,1,C037464
26.62,1,C034062
26.65,1,C078550
26.66,1,C021565
26.66,1,C062692
26.67,1,C026673
26.68,1,C014041
26.74,1,C019639
26.74,1,C055811
26.76,1,C046710
26.77,1,C020705
26.77,1,C024627
26.80,1,C056876
26.81,2,C006141
26.82,1,C010909
26.82,1,C029652
26.84,1,C041885
26.84,1,C052300
26.88,1,C053878
26.90,1,C018994
26.90,1,C060677
26.91,1,C075186
26.93,1,C021319
26.94,1,C037077
26.96,1,C003754
26.96,1,C020490
26.98,1,C059081
26.99,1,C068541
27.02,1,C039881
27.03,1,C032140
27.04,1,C046505
27.06,1,C013879
27.07,1,C015801
27.07,1,C016873
27.08,1,C009031
27.09,1,C061515
27.10,1,C017201
27.11,1,C018319
27.12,1,C040896
27.12,1,C056905
27.15,1,C038634
27.15,1,C057088
27.15,1,C074222
27.16,1,C056527
27.20,1,C036481
27.25,1,C049800
27.28,1,C008123
27.28,1,C013541
27.28,1,C022971
27.28,1,C031603
27.30,1,C017988
27.31,1,C037485
27.31,1,C059823
27.33,1,C011847
27.33,1,C025516
27.36,1,C023752
27.37,1,C039077
27.39,1,C006961
27.39,1,C078471
27.42,1,C077034
27.42,1,C078719
27.44,1,C002584
27.44,1,C049001
27.45,1,C001533
27.45,1,C041604
27.47,1,C079385
27.48,1,C026345
27.49,1,C052515
27.50,1,C021437
27.50,1,C058703
27.51,2,C063264
27.52,1,C038582
27.53,1,C032604
27.54,1,C046060
27.55,1,C020750
27.55,1,C048408
27.56,1,C066273
27.57,1,C010728
27.57,1,C054923
27.57,1,C060224
27.58,1,C066357
27.58,1,C073265
27.59,1,C022436
27.59,1,C058521
27.59,1,C062616
27.61,2,C018620
27.62,1,C023340
27.64,1,C077655
27.65,1,C018177
27.66,1,C005627
27.66,1,C079088
27.67,1,C059249
